kode_satker,kementerian,nama_satker,kode_barang,nup,koordinat,luas,jenis_barang,nama_barang,SURAT JAWABAN PENGGUNA BARANG,TANGGAL SURAT JAWABAN PENGGUNA BARANG,HASIL JAWABAN,PEMETAAN AWAL BERBASIS KEYWORD,TAHAP_BERIKUT,PENYAMPAIAN_KLARIFIKASI_REKAP,FLAG_REKONSILIASI_D_E,CATATAN_REKONSILIASI,id
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,2010101001,2,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan I,WP.20.PAS.1-PB.04.01-111,46227.0,"Digunakan sendiri untuk operasional. Di atas aset tersebut berdiri bangunan Rumah Khusus yang disewakan kepada pegawai berdasarkan SK Penghuni Nomor : 
1) WP.20.PAS.1-26.PB.03.04 TAHUN 2025
2) WP.20.PAS.1-105.PB.03.04 TAHUN 2025
3) WP.20.PAS.1-103.PB.03.04 TAHUN 2025
4) WP.20.PAS.1-104.PB.03.04 TAHUN 2025",Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-60
013012200408870000KD,KEMENTERIAN HUKUM DAN HAM,KEMENKUMHAM BALI-Sekjen,2010104001,2,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,W.20 - PB.04.01 - 634 ,46059.0,"Kode barang ini berupa tanah di Jalan Ratna No. 19 Denpasar yang saat ini digunakan sebagai Rumah Dinas pegawai Kanwil Hukum, Kanwil HAM, Kanwil Ditjen Imigrasi dan Kanwil Ditjen Pemasyarakatan Bali serta Kantor Kanwil Ditjen Pemasyarakatan Bali ex Kantor Rupbasan Denpasar",Dihuni/dikuasai pensiunan atau pihak eksternal,PENELITIAN,SUDAH,-,-,BMN-61
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,4010201007,3,,,Rumah Negara,Rumah Negara Gol I tipe C Permanen,WP.20.PAS.1-PB.04.01-111,46227.0,Aset tersebut telah dilakukan penghapusan pada tahun 2021 melalui Surat Keputusan Surat Keputusan Menteri Hukum dan Hak Asasi Manusia Nomor: SEK.4-39.PB.06.04 TAHUN 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-62
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,3,,,Rumah Negara,Rumah Negara Golongan I Tipe D Permanen,WIM.20-PB.03.04-9326 ,46154.0,Dihuni Kepala Seksi Pemeriksaan IV a.n Ardyansah,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-63
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,2010101001,3,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan I,WP.20.PAS.1-PB.04.01-111,46227.0,"Digunakan sendiri untuk operasional. Di atas aset tersebut berdiri bangunan Rumah Khusus yang disewakan kepada pegawai berdasarkan SK Penghuni Nomor : 
1) WP.20.PAS.1-107.PB.03.04 TAHUN 2025
2) WP.20.PAS.1-430.PB.03.04 TAHUN 2024
3) WP.20.PAS.1-431.PB.03.04 TAHUN 2024
4) WP.20.PAS.1-432.PB.03.04 TAHUN 2024
5) WP.20.PAS.1-433.PB.03.04 TAHUN 2024",Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-64
013052200407571000KD,KEMENTERIAN HUKUM DAN HAM,Rumah Tahanan Negara Gianyar,4010101001,3,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,WP.20-UM.01.01-1381,46210.0,"merupakan Aula Kantor yang digunakan
sebagai gedung pertemuan dan rapat. BMN tersebut masih digunakan untuk
mendukung pelaksanaan tugas pokok dan fungsi satker",Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-65
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,4010201010,4,,,Rumah Negara,Rumah Negara Gol I tipe D Permanen,WP.20.PAS.1-PB.04.01-111,46227.0,Aset tersebut telah dilakukan penghapusan pada tahun 2021 melalui Surat Keputusan Surat Keputusan Menteri Hukum dan Hak Asasi Manusia Nomor: SEK.4-39.PB.06.04 TAHUN 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-66
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,4010201007,4,,,Rumah Negara,Rumah Negara Gol I tipe C Permanen,WP.20.PAS.1-PB.04.01-111,46227.0,Aset tersebut telah dilakukan penghapusan pada tahun 2021 melalui Surat Keputusan Surat Keputusan Menteri Hukum dan Hak Asasi Manusia Nomor: SEK.4-39.PB.06.04 TAHUN 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-67
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201007,4,,,Rumah Negara,Rumah Negara Golongan I Tipe C Permanen,WIM.20-PB.03.04-9326 ,46154.0,diusulkan untuk direnovasi,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-68
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,4010201010,5,,,Rumah Negara,Rumah Negara Gol I tipe D Permanen,WP.20.PAS.1-PB.04.01-111,46227.0,Aset tersebut telah dilakukan penghapusan pada tahun 2021 melalui Surat Keputusan Surat Keputusan Menteri Hukum dan Hak Asasi Manusia Nomor: SEK.4-39.PB.06.04 TAHUN 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-69
013042200408870000KD,KEMENTERIAN HUKUM DAN HAM,Kanwil Kemenkumham Bali-Sekjend,4010101001,5,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,W.20 - PB.04.01 - 634 ,46059.0,"Kode satker 013042200408870000KD yang tertera pada surat nomor S-259/MK/KNL. 1401/2025 bukan kode satker kami, kode satker kami 013012200408870000KD, mohon penjelasan lebih lanjut",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-70
013012200408870000KD,KEMENTERIAN HUKUM DAN HAM,KEMENKUMHAM BALI-Sekjen,4010201007,6,,,Rumah Negara,Rumah Negara Golongan I Tipe C Permanen,W.20 - PB.04.01 - 634 ,46059.0,"Rumah tersebut berada di Jalan Dahlia No. 24 Denpasar, saat ini dihuni oleh pegawai dengan SIP Nomor W.20-14.PB.03.02 tahun 2026 tentang Penunjukan Penghuni Rumah Negara a.n. Dr. Parlindungan, S.H., M.H",Dihuni/digunakan pegawai aktif,PENELITIAN,SUDAH,-,-,BMN-71
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,4010201010,6,,,Rumah Negara,Rumah Negara Gol I tipe D Permanen,WP.20.PAS.1-PB.04.01-111,46227.0,Aset tersebut telah dilakukan penghapusan pada tahun 2021 melalui Surat Keputusan Surat Keputusan Menteri Hukum dan Hak Asasi Manusia Nomor: SEK.4-39.PB.06.04 TAHUN 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-72
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201007,6,,,Rumah Negara,Rumah Negara Golongan I Tipe C Permanen,WIM.20-PB.03.04-9326 ,46154.0,diusulkan untuk direnovasi,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-73
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,2010101001,6,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan I,WP.20.PAS.1-PB.04.01-111,46227.0,"Digunakan sendiri untuk operasional. Di atas aset tersebut berdiri bangunan Rumah Khusus yang disewakan kepada pegawai berdasarkan SK Penghuni Nomor : 
1) WP.20.PAS.1-428.PB.03.04 TAHUN 2024",Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-74
013042200408870000KD,KEMENTERIAN HUKUM DAN HAM,Kanwil Kemenkumham Bali-Sekjend,4010101001,6,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,W.20 - PB.04.01 - 634 ,46059.0,"Kode satker 013042200408870000KD yang tertera pada surat nomor S-259/MK/KNL.
1401/2025 bukan kode satker kami, kode satker kami 013012200408870000KD, mohon penjelasan lebih lanjut",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-75
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,4010201010,7,,,Rumah Negara,Rumah Negara Gol I tipe D Permanen,WP.20.PAS.1-PB.04.01-111,46227.0,Aset tersebut telah dilakukan penghapusan pada tahun 2021 melalui Surat Keputusan Surat Keputusan Menteri Hukum dan Hak Asasi Manusia Nomor: SEK.4-39.PB.06.04 TAHUN 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-76
013052200407525000KD,KEMENTERIAN HUKUM DAN HAM,Lembaga Pemasyarakatan Kerobokan,4010201010,8,,,Rumah Negara,Rumah Negara Gol I tipe D Permanen,WP.20.PAS.1-PB.04.01-111,46227.0,Aset tersebut telah dilakukan penghapusan pada tahun 2021 melalui Surat Keputusan Surat Keputusan Menteri Hukum dan Hak Asasi Manusia Nomor: SEK.4-39.PB.06.04 TAHUN 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-77
013052200407571000KD,KEMENTERIAN HUKUM DAN HAM,Rumah Tahanan Negara Gianyar,2010101001,10,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan I,WP.20-UM.01.01-1381,46210.0,"sudah diajukan usulan
pembangunan Rumah Negara Golongan II Tipe E pada Rencana Kebutuhan
Barang Milik Negara (RKBMN) tahun 2027",Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-78
013052200407571000KD,KEMENTERIAN HUKUM DAN HAM,Rumah Tahanan Negara Gianyar,2010101001,11,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan I,WP.20-UM.01.01-1381,46210.0,"sudah diajukan usulan
pembangunan Rumah Negara Golongan II Tipe E pada Rencana Kebutuhan
Barang Milik Negara (RKBMN) tahun 2027",Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-79
013052200407571000KD,KEMENTERIAN HUKUM DAN HAM,Rumah Tahanan Negara Gianyar,2010101001,12,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan I,WP.20-UM.01.01-1381,46210.0,"sudah diajukan usulan
pembangunan Rumah Negara Golongan II Tipe E pada Rencana Kebutuhan
Barang Milik Negara (RKBMN) tahun 2027",Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-80
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,16,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,Dihuni Analis Keimigrasian an Dhia Khairunnisa,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-81
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,17,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,Dihuni Analis Keimigrasian an Allouisius Tanamera,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-82
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,18,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,Dihuni Analis Keimigrasian an Wiji Rahmawan,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-83
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,19,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,Dihuni Analis Keimigrasian an Firmansyah Setyadji,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-84
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,21,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,diusulkan untuk direnovasi,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-85
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,22,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,diusulkan untuk direnovasi,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-86
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,23,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,Dihuni Analis Keimigrasian an Tarsisius Inosensius Anunu,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-87
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,24,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,diusulkan untuk direnovasi,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-88
013062200409108000KD,KEMENTERIAN HUKUM DAN HAM,KANTOR IMIGRASI KELAS I KHUSUS NGURAH RAI,4010201013,25,,,Rumah Negara,Rumah Negara Golongan I Tipe E Permanen,WIM.20-PB.03.04-9326 ,46154.0,diusulkan untuk direnovasi,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-89
032072200477419000KD,Kementerian Kelautan dan Perikanan,BPSPL,4010201010,1,,,Rumah Negara,Rumah Negara Golongan I Tipe D Permanen,B.2441/BPKel.2/PL.780/VII/2026,46231.0,Digunakan sendiri sesuai tusi (dihuni kepala kantor) ,Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-90
024042200415661000KD,KEMENTERIAN KESEHATAN,RSUP Sanglah,4010201007,1,,,Rumah Negara,Rumah Negara Golongan I Tipe C Permanen,KN.01.02/A.II/1133/2026,46162.0,Sudah dihapuskan dan menjadi Gedung Kesehatan Ibu dan Anak,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-91
024042200415661000KD,KEMENTERIAN KESEHATAN,RSUP Sanglah,4010201010,2,,,Rumah Negara,Rumah Negara Golongan I Tipe D Permanen,KN.01.02/A.II/1133/2026,46162.0,Sudah dihapuskan dan rencana akan dibangun Gedung Cadever Center,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-92
024042200415661000KD,KEMENTERIAN KESEHATAN,RSUP Sanglah,4010201007,5,,,Rumah Negara,Rumah Negara Golongan I Tipe C Permanen,KN.01.02/A.II/1133/2026,46162.0, Sudah dihapuskan dan menjadi Gedung Kesehatan Ibu dan Anak,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-93
024052200415871000KD,KEMENTERIAN KESEHATAN,Kantor Kesehatan Pelabuhan Kelas I,2010104001,6,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,KN.01.02/C.IX/5005/2026,46232.0,digunakan untuk mendukung tusi ,Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-94
024052200415871000KD,KEMENTERIAN KESEHATAN,Kantor Kesehatan Pelabuhan Kelas I,2010104001,7,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,KN.01.02/C.IX/5005/2026,46232.0,digunakan untuk mendukung tusi ,Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-95
024042200415661000KD,KEMENTERIAN KESEHATAN,RSUP Sanglah,4010201007,8,,,Rumah Negara,Rumah Negara Golongan I Tipe C Permanen,KN.01.02/A.II/1133/2026,46162.0,Sudah dihapuskan dan menjadi Gedung Kesehatan Ibu dan Anak,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-96
024052200415871000KD,KEMENTERIAN KESEHATAN,Kantor Kesehatan Pelabuhan Kelas I,2010104001,8,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,KN.01.02/C.IX/5005/2026,46232.0,digunakan untuk mendukung tusi ,Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-97
015042800525606002KD,KEMENTERIAN KEUANGAN,KPP PRATAMA GIANYAR/KP2KP AMLAPURA,4010202013,1,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,ND-882/KPP.1707/2026,46230.0,Rumah Negara dengan NUP 1 sedang dalam proses renovasi.,Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-98
015042800410016000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN/KP2KP NEGARA,4010202013,1,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,ND-562/KPP.1708/2026,46230.0,BMN saat ini dipakai untuk Rumah Negara pegawai KPP Pratama Tabanan,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-99
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,1,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-100
015112200675741000KD,KEMENTERIAN KEUANGAN,BALAI DIKLAT KEUANGAN DENPASAR,2010104001,2,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah, ND-556/BPP.07/2026,46231.0,Penggunaan BMN untuk digunakan sendiri sesuai dengan tugas dan fungsi,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-101
015042800410016000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN/KP2KP NEGARA,4010202013,2,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,ND-562/KPP.1708/2026,46230.0,BMN saat ini dipakai untuk Rumah Negara pegawai KPP Pratama Tabanan,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-102
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,2,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-103
015042800410016001KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN/KP2KP NEGARA,4010101001,2,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-562/KPP.1708/2026,46230.0,BMN saat ini berdiri di atas tanah milik Pemerintah Kabupaten Jembrana. Gedung tidak ada rencana untuk dilakukan pemanfaatan dan akan dihapuskan karena kondisi Rusak Berat.,Kendala hukum/kepemilikan,PENELITIAN,SUDAH,-,-,BMN-104
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010101001,2,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-554/KBC.1302/2026,46155.0,difungsikan sebagai kantor bantu dan masih digunakan untuk mendukung tugas dan fungsi unit kerja,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-105
015042800410016000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN,2010104001,3,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,ND-562/KPP.1708/2026,46230.0,Tidak ada rencana penggunaan dan pemanfaatan BMN Tanah dikarenakan posisi tanah yang tidak strategis jika dijadikan tempat pelayanan dan tidak optimal jika dimanfaatkan menjadi rumah negara /mess.,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-106
015042800410016000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN/KP2KP NEGARA,4010202013,3,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,ND-562/KPP.1708/2026,46230.0,Digunakan sendiri untuk operasional,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-107
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,3,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-108
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,2010101002,3,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,ND-554/KBC.1302/2026,46155.0,dalam rangka mendukung rencana strategis organisasi terkait pembangunan kantor yang membawahi wilayah kerja Bali Utara,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-109
015042800410016001KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN/KP2KP NEGARA,4010101001,3,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-562/KPP.1708/2026,46230.0,Digunakan sendiri untuk operasional,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-110
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,4,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-111
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010101001,4,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-554/KBC.1302/2026,46155.0,Difungsikan sebagai kantor bantu dan masih digunakan untuk mendukung tugas dan fungsi unit kerja,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-112
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,5,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-113
015042800525584000KD,KEMENTERIAN KEUANGAN,KANWIL DJP BALI,2010101004,5,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Dalam Proses Penggolongan,ND-1511/WPJ.17/2026,46233.0,Lokasi Kemuning. Akan dikoordinasikan ke Pengelola Barang dan BPN. Sengketa dikuasai pihak ketiga,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-114
015042800525606000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA GIANYAR,4010101001,5,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-882/KPP.1707/2026,46230.0,"Bangunan Gedung Kantor Permanen dengan NUP 5 digunakan sebagai Pos Pajak
Klungkung.",Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-115
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,6,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-116
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,2010101002,6,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,ND-554/KBC.1302/2026,46155.0,belum ada rencana pengunaan ,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-117
015082000528544000KD,KEMENTERIAN KEUANGAN,KANWIL DJPB PROP. BALI,4010202007,7,,,Rumah Negara,Rumah Negara Golongan II Tipe C Permanen,ND-622/WPB.22/2026,46227.0,Dihuni oleh Kepala Bidang PPA II Kanwil DJPB Bali Sesuai Kep-86/WPB.22/2025 tangal 30 Juni 2025,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-118
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,7,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-119
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010101001,7,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-554/KBC.1302/2026,46155.0,Difungsikan sebagai kantor bantu dan masih digunakan untuk mendukung tugas dan fungsi unit kerja,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-120
015042800410016000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN,4010299999,8,,,Rumah Negara,Bangunan Gedung Tempat Tinggal Lainnya,ND-562/KPP.1708/2026,46230.0,"tidak terdapat nup 8 untuk kode aset dimaksud, namun ada nup 12: BMN statusnya tidak aktif dan sudah direklas menjadi Rumah Negara Golongan I Tipe C Permanen",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-121
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010101001,8,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-554/KBC.1302/2026,46155.0,difungsikan sebagai kantor bantu dan masih digunakan untuk mendukung tugas dan fungsi unit kerja,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-122
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202013,9,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-123
